source,vessel_id,mmsi,imo,timestamp_utc,lat,lon,sog_knots,cog_deg
marinecadastre_ais,123456789,123456789,9876543,2026-03-01 00:00:00+00:00,31.2001,-119.4002,12.4,270.1
marinecadastre_ais,123456789,123456789,9876543,2026-03-01 00:05:00+00:00,31.2015,-119.4205,12.1,271.0
marinecadastre_ais,123456789,123456789,9876543,2026-03-01 00:10:00+00:00,31.203,-119.4401,1.2,188.4
marinecadastre_ais,123456789,123456789,9876543,2026-03-01 00:15:00+00:00,31.2035,-119.441,1.1,190.0
marinecadastre_ais,123456789,123456789,9876543,2026-03-01 00:20:00+00:00,31.204,-119.442,0.9,200.0
marinecadastre_ais,123456789,123456789,9876543,2026-03-01 00:25:00+00:00,31.2042,-119.443,1.0,210.0
marinecadastre_ais,123456789,123456789,9876543,2026-03-01 00:30:00+00:00,31.2045,-119.444,1.3,220.0
marinecadastre_ais,123456789,123456789,9876543,2026-03-01 00:35:00+00:00,31.205,-119.445,1.5,230.0
marinecadastre_ais,123456789,123456789,9876543,2026-03-01 00:40:00+00:00,31.21,-119.46,10.5,270.0
marinecadastre_ais,987654321,987654321,1234567,2026-03-01 00:00:00+00:00,32.0,-120.0,14.0,90.0
marinecadastre_ais,987654321,987654321,1234567,2026-03-01 00:05:00+00:00,32.01,-120.01,13.5,92.0
marinecadastre_ais,987654321,987654321,1234567,2026-03-01 00:10:00+00:00,32.02,-120.02,13.8,95.0
marinecadastre_ais,987654321,987654321,1234567,2026-03-01 00:15:00+00:00,32.03,-120.03,14.2,100.0
